id,jornada_id,equipo_local,equipo_visitante,fecha_partido,estado,notas
1,1,Alavés,Levante,,pendiente,
2,1,Athletic Bilbao,Sevilla,,pendiente,
3,1,Celta de Vigo,Getafe,,pendiente,
4,1,Girona,Rayo Vallecano,,pendiente,
5,1,Espanyol,Atlético de Madrid,,pendiente,
6,1,Mallorca,Barcelona,,pendiente,
7,1,Elche,Betis,,pendiente,
8,1,Real Madrid,Osasuna,,pendiente,
9,1,Valencia,Real Sociedad,,pendiente,
10,1,Villarreal,Oviedo,,pendiente,
11,2,Athletic Bilbao,Rayo Vallecano,,pendiente,
12,2,Atlético de Madrid,Elche,,pendiente,
13,2,Osasuna,Valencia,,pendiente,
14,2,Oviedo,Real Madrid,,pendiente,
15,2,Betis,Alavés,,pendiente,
16,2,Levante,Barcelona,,pendiente,
17,2,Mallorca,Celta de Vigo,,pendiente,
18,2,Real Sociedad,Espanyol,,pendiente,
19,2,Sevilla,Getafe,,pendiente,
20,2,Villarreal,Girona,,pendiente,
21,3,Alavés,Atlético de Madrid,,pendiente,
22,3,Celta de Vigo,Villarreal,,pendiente,
23,3,Elche,Levante,,pendiente,
24,3,Espanyol,Osasuna,,pendiente,
25,3,Girona,Sevilla,,pendiente,
26,3,Oviedo,Real Sociedad,,pendiente,
27,3,Betis,Athletic Bilbao,,pendiente,
28,3,Rayo Vallecano,Barcelona,,pendiente,
29,3,Valencia,Getafe,,pendiente,
30,3,Real Madrid,Mallorca,,pendiente,
31,4,Atlético de Madrid,Villarreal,,pendiente,
32,4,Barcelona,Valencia,,pendiente,
33,4,Celta de Vigo,Girona,,pendiente,
34,4,Espanyol,Mallorca,,pendiente,
35,4,Getafe,Oviedo,,pendiente,
36,4,Osasuna,Rayo Vallecano,,pendiente,
37,4,Athletic Bilbao,Alavés,,pendiente,
38,4,Levante,Betis,,pendiente,
39,4,Sevilla,Elche,,pendiente,
40,4,Real Sociedad,Real Madrid,,pendiente,
41,5,Alavés,Sevilla,,pendiente,
42,5,Barcelona,Getafe,,pendiente,
43,5,Betis,Real Sociedad,,pendiente,
44,5,Elche,Oviedo,,pendiente,
45,5,Girona,Levante,,pendiente,
46,5,Valencia,Athletic Bilbao,,pendiente,
47,5,Mallorca,Atlético de Madrid,,pendiente,
